pose,start,finish_time,goal_state
"[651, 366]",1515866469.196566,1515866490.54397,4
"[651, 367]",1515866502.555709,1515866523.904484,4
"[651, 368]",1515866535.913651,1515866556.924647,4
"[651, 369]",1515866568.935419,1515866589.946621,4
"[651, 370]",1515866601.958841,1515866623.306971,4
"[651, 371]",1515866635.316895,1515866656.664574,4
"[651, 372]",1515866668.674505,1515866690.021768,4
"[651, 373]",1515866702.029392,1515866723.376117,4
"[651, 374]",1515866735.385105,1515866756.727929,4
"[651, 375]",1515866768.730623,1515866790.079288,4
"[651, 376]",1515866802.087351,1515866823.435605,4
"[651, 377]",1515866835.441621,1515866856.790145,4
"[651, 378]",1515866868.801227,1515866889.812591,4
"[651, 379]",1515866901.822354,1515866923.170126,4
"[651, 380]",1515866935.179614,1515866956.528305,4
"[651, 381]",1515866968.538121,1515866989.885023,4
"[651, 382]",1515867001.895385,1515867023.243488,4
"[651, 383]",1515867035.251666,1515867056.600776,4
"[651, 384]",1515867068.61329,1515867089.960508,4
"[651, 385]",1515867101.97033,1515867123.317509,4
"[651, 386]",1515867135.326807,1515867156.674403,4
"[651, 387]",1515867168.683556,1515867190.032105,4
"[651, 388]",1515867202.044314,1515867223.393143,4
"[651, 389]",1515867235.402104,1515867256.4132,4
"[651, 390]",1515867268.426159,1515867289.774086,4
"[651, 391]",1515867301.784231,1515867322.794768,4
"[651, 392]",1515867334.805358,1515867356.150808,4
"[651, 393]",1515867368.156378,1515867389.504634,4
"[651, 394]",1515867401.512263,1515867422.859815,4
"[651, 395]",1515867434.871683,1515867456.220032,4
"[651, 396]",1515867468.231216,1515867489.579184,4
"[651, 397]",1515867501.588443,1515867522.601942,4
"[651, 398]",1515867534.613919,1515867555.961729,4
"[651, 399]",1515867567.972728,1515867589.320123,4
"[651, 400]",1515867601.327977,1515867622.67563,4
"[651, 401]",1515867634.684518,1515867656.032568,4
"[651, 402]",1515867668.044341,1515867689.392755,4
"[651, 403]",1515867701.401929,1515867722.750107,4
"[651, 404]",1515867734.76033,1515867756.108885,4
"[651, 405]",1515867768.113861,1515867789.461245,4
"[651, 406]",1515867801.47261,1515867822.820987,4
"[651, 407]",1515867834.832521,1515867855.843196,4
"[651, 408]",1515867867.854246,1515867889.202308,4
"[651, 409]",1515867901.210049,1515867922.558644,4
"[651, 410]",1515867934.56789,1515867955.916272,4
